YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 23 02 40  16  3.7  4.9 99.00 99.00 99.00 999 1015.6  11.3 999.0 999.0 99.0 99.00
2014 03 23 02 50  19  3.4  4.3 99.00 99.00 99.00 999 1015.7  11.3 999.0 999.0 99.0 99.00
2014 03 23 03 00  11  3.6  5.3 99.00 99.00 99.00 999 1015.7  11.1   5.6 999.0 99.0 99.00
2014 03 23 03 10  11  4.2  5.4 99.00 99.00 99.00 999 1015.8  10.9 999.0 999.0 99.0 99.00
2014 03 23 03 20   8  3.9  5.3 99.00 99.00 99.00 999 1016.0  10.5 999.0 999.0 99.0 99.00
2014 03 23 03 30  11  3.6  4.6 99.00 99.00 99.00 999 1016.2  10.4 999.0 999.0 99.0 99.00
2014 03 23 03 40 357  2.3  3.8 99.00 99.00 99.00 999 1016.3   9.8 999.0 999.0 99.0 99.00
2014 03 23 03 50 353  2.3  3.5 99.00 99.00 99.00 999 1016.4   9.3 999.0 999.0 99.0 99.00
2014 03 23 04 00   8  3.1  4.3 99.00 99.00 99.00 999 1016.4   9.5   5.7 999.0 99.0 99.00
2014 03 23 04 10  12  3.4  4.3 99.00 99.00 99.00 999 1016.4   9.6 999.0 999.0 99.0 99.00
2014 03 23 04 20 343  2.1  2.9 99.00 99.00 99.00 999 1016.5   8.9 999.0 999.0 99.0 99.00
2014 03 23 04 30 356  2.9  4.8 99.00 99.00 99.00 999 1016.5   8.7 999.0 999.0 99.0 99.00
2014 03 23 04 40  12  3.5  4.4 99.00 99.00 99.00 999 1016.6   9.0 999.0 999.0 99.0 99.00
2014 03 23 04 50  21  3.2  4.6 99.00 99.00 99.00 999 1016.6   8.9 999.0 999.0 99.0 99.00
2014 03 23 05 00  19  2.8  3.5 99.00 99.00 99.00 999 1016.7   8.8   5.7 999.0 99.0 99.00
2014 03 23 05 10  16  3.2  4.4 99.00 99.00 99.00 999 1016.7   8.6 999.0 999.0 99.0 99.00
2014 03 23 05 20  11  3.1  4.6 99.00 99.00 99.00 999 1016.9   8.4 999.0 999.0 99.0 99.00
2014 03 23 05 30  15  3.6  5.9 99.00 99.00 99.00 999 1016.9   8.3 999.0 999.0 99.0 99.00
2014 03 23 05 40  12  5.3  8.0 99.00 99.00 99.00 999 1017.0   8.2 999.0 999.0 99.0 99.00
2014 03 23 05 50   6  5.0  6.9 99.00 99.00 99.00 999 1017.2   7.9 999.0 999.0 99.0 99.00
2014 03 23 06 00   7  4.4  5.5 99.00 99.00 99.00 999 1017.3   7.7   5.7 999.0 99.0 99.00
2014 03 23 06 10   9  4.7  6.6 99.00 99.00 99.00 999 1017.3   7.6 999.0 999.0 99.0 99.00
2014 03 23 06 20   1  4.2  6.3 99.00 99.00 99.00 999 1017.4   7.5 999.0 999.0 99.0 99.00
2014 03 23 06 30   7  4.3  6.0 99.00 99.00 99.00 999 1017.4   7.4 999.0 999.0 99.0 99.00
2014 03 23 06 40  17  3.6  5.2 99.00 99.00 99.00 999 1017.4   7.2 999.0 999.0 99.0 99.00
2014 03 23 06 50  10  3.1  3.9 99.00 99.00 99.00 999 1017.4   7.1 999.0 999.0 99.0 99.00
2014 03 23 07 00   4  2.6  3.5 99.00 99.00 99.00 999 1017.4   6.9   5.7 999.0 99.0 99.00
2014 03 23 07 10   5  2.4  3.1 99.00 99.00 99.00 999 1017.4   6.8 999.0 999.0 99.0 99.00
